country,year,mean,se
LES,1982,-7.6657804788335815,2.4765048840975856
LES,1983,-7.426176380058535,2.6147803635452243
LES,1984,-7.633255134208476,2.798663029459434
LES,1985,-7.650746380966906,2.5655012047763606
LES,1986,-7.400528106820461,2.8397622983061073
LES,1987,-7.162405478461026,2.5992430671680156
LES,1988,-6.624973261067916,2.4632423696917503
LES,1989,-6.229617016848688,2.4537278482779112
LES,1990,-5.6501452164813895,2.0211267718970514
LES,1991,-4.309795944465676,1.4872874470351938
LES,1992,-2.7408134773643957,0.912776710621613
LES,1993,-0.3694627826633212,0.6122351719852571
LES,1994,0.19364047995563693,0.6632565288791772
LES,1995,0.22767165879242185,0.9318824220657361
LES,1996,0.13899777023723286,0.7344186169892257
LES,1997,-0.15712150254469062,0.8361175887588426
LES,1998,-1.4578660252430051,0.9736348191638327
LES,1999,-1.594216100437875,1.138100889634587
LES,2000,-1.7775162929144144,1.2039517290145423
LES,2001,-1.3946661119383092,1.0307860515061467
LES,2002,0.7777793267282214,0.663151262061913
LES,2003,1.3594405103680527,0.7852933088988776
LES,2004,1.721236616175122,0.8953691755482364
LES,2005,1.525668127109904,0.8622910283907398
LES,2006,1.6314340280660766,0.7785822545346146
LES,2007,1.690233929368971,0.8841561733736018
LES,2008,1.7581494323046123,1.1525046818421503
LES,2009,3.125270018904831,1.3870160197155446
LES,2010,4.475751619675292,2.024914347288182
LES,2011,4.840656159905987,2.411695985996442
LES,2012,5.072579833621441,3.0378977026383853
LES,2013,4.885309451636864,3.418618786587442
LIB,1945,-8.351764977233897,3.5995287512763867
LIB,1946,-8.462721807524748,2.9629805658858235
LIB,1947,-8.987965004951047,2.6809286419162977
LIB,1948,-8.994768289948553,2.6378382484329044
LIB,1949,-9.105441254670655,2.5907379260526295
LIB,1950,-9.09384283879138,3.003301268736626
LIB,1951,-9.16831176406041,3.0323144650615577
LIB,1952,-8.807272926948306,2.884181230961059
LIB,1953,-8.566483286479945,2.9315063394245575
LIB,1954,-8.742619274641976,2.9007911445049026
LIB,1955,-8.94123135486586,3.053556296255404
LIB,1956,-8.893451352959977,2.620411886733619
LIB,1957,-8.778828898871478,2.9479309446041597
LIB,1958,-8.95726805856733,2.675670433199488
LIB,1959,-9.371357142857248,2.6981866377091483
LIB,1960,-9.794617449949914,2.3013521046273104
LIB,1961,-9.750560704668306,2.485840361737768
LIB,1962,-9.544374054282686,2.517543830001767
LIB,1963,-9.750614724831989,2.4452112039943024
LIB,1964,-9.72349440386069,2.335502067097663
LIB,1965,-9.652369849939827,2.4285147881363187
LIB,1966,-9.460948071026174,2.6890803945157806
LIB,1967,-9.25773900305752,2.684494153723152
LIB,1968,-9.884482921206802,2.8504095390725115
LIB,1969,-10.05169911567021,3.079986534215862
LIB,1970,-10.203199396117489,3.0433818551423806
LIB,1971,-10.415795162107354,3.11873776877373
LIB,1972,-10.642182847495611,3.164666903676234
LIB,1973,-10.685966902265577,3.3686712484716463
LIB,1974,-10.855689113571083,3.780843651952595
